title,console,genre,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,overall,year
Aishite Iruka: Aisarete Iruka,DSiW,Simulation,"Starfish-SD, Inc.",,,,,,,2010-07-21,,,2010
Aitakute... Your Smiles in My Heart,PS,Simulation,KCET,,,,,,,2000-03-16,,,2000
Akogare Girls Collection: Mister Donut DS,DS,Simulation,Open Sesame,,,,,,,2010-12-09,,,2010
Akogare Girls Collection: Ohanaya-San Monogatari,DS,Simulation,Columbia Music Entertainment,,,,,,,2011-06-30,,,2011
Alien Crush Returns,WW,Simulation,Hudson Entertainment,,,,,,,2008-11-03,,,2008
Allegiance,PC,Simulation,Microsoft Game Studios,,,,,,,2000-03-31,,,2000
Anan Kanshuu: Onna Dikara Kinkyuu Up! DS,DS,Simulation,Suzak,,,,,,,2007-07-26,,,2007
Angel Collection: Mezase! Gakuen no Fashion Leader,GBA,Simulation,MTO,,,,,,,2003-04-18,,,2003
Animal Boyfriend,And,Simulation,Ambition,,,,,,,2014-07-16,,,2014
Animal Forest,iQue,Simulation,Nintendo EAD,,,,,,,,,,
Animal Paradise Wild,DS,Simulation,Rekoo,,,,,,,2009-10-06,,,2009
Animal Planet: Pet Vet,DS,Simulation,Activision,,,,,,,2009-09-15,,,2009
Anne's Doll Studio,DS,Simulation,Starfish,,,,,,,2014-06-26,,,2014
"Anno 1503: Treasures, Monsters & Pirates",PC,Simulation,Sunflower Studios,,,,,,,2004-05-21,,,2004
Anno 1701: The Sunken Dragon Expansion,PC,Simulation,Related Designs,,,,,,,2007-10-25,,,2007
Anoko Doko Noko,PS,Simulation,Success,,,,,,,1998-08-06,,,1998
Anoko Doko Noko,PSN,Simulation,Success,,,,,,,2010-08-11,,,2010
Anstoss,PC,Simulation,Ascon GmbH,,,,,,,1993-01-01,,,1993
Anstoss 2 Gold,PC,Simulation,Ascaron Entertainment,,,,,,,1998-01-01,,,1998
Anstoss 2005,PC,Simulation,Ascaron,,,,,,,2004-10-28,,,2004
Anstoss 2007,PC,Simulation,Ascaron,,,,,,,2006-08-10,,,2006
Anstoss 3,PC,Simulation,Ascaron,,,,,,,2000-07-01,,,2000
Anstoss Action,PC,Simulation,Ascaron Entertainment,,,,,,,2001-01-01,,,2001
Ant Nation,WW,Simulation,Konami,4.1,,,,,,2009-07-13,,,2009
Apache AH-64: Air Assault,PC,Simulation,InterActive Vision Games,,,,,,,2003-02-12,,,2003
Apache Longbow Assault,PC,Simulation,InterActive Vision Games,,,,,,,2004-02-05,,,2004
Apache: Air Assault,XBL,Simulation,Gaijin Entertainment,6.8,,,,,,2011-11-29,,,2011
Apassionata: Die Galanacht der Pferde,PC,Simulation,RTL Multimedia,,,,,,,2009-11-02,,,2009
Aqua World: Umibi Monogatari,SAT,Simulation,Mashita,,,,,,,1996-07-12,,,1996
Aqua World: Umibi Monogatari,3DO,Simulation,Mizuki,,,,,,,1995-10-13,,,1995
AquaLife,GB,Simulation,Tamsoft,,,,,,,1999-10-22,,,1999
AquaNox,PC,Simulation,Massive Development,6.4,,,,,,2001-11-19,,,2001
AquaNox 2: Revelation,PC,Simulation,Massive Development,5.6,,,,,,2003-08-22,,,2003
AquaSpace,WW,Simulation,Paon Corporation,,,,,,,2010-07-19,,,2010
Aquatopia,PSN,Simulation,SCEE London Studio,,,,,,,2007-11-20,,,2007
Aquatopia™,PSN,Simulation,Unknown,,,,,,,2007-11-20,,,2007
AquaZone,SAT,Simulation,Open Book 9003,,,,,,,1996-07-12,,,1996
AquaZone,PC,Simulation,Open Book 9003,,,,,,,1997-01-10,,,1997
AquaZone Option Disk Series 1: Angel Fish,SAT,Simulation,Open Book 9003,,,,,,,1996-12-06,,,1996
AquaZone Option Disk Series 2: Black Molly,SAT,Simulation,Open Book 9003,,,,,,,1996-12-06,,,1996
AquaZone Option Disk Series 3: Blue Emperor,SAT,Simulation,Open Book 9003,,,,,,,1996-12-06,,,1996
AquaZone Option Disk Series 4: Clown Loach,SAT,Simulation,Open Book 9003,,,,,,,1996-12-06,,,1996
AquaZone Option Disk Series 5: False Rummy-Nose,SAT,Simulation,Open Book 9003,,,,,,,1996-12-06,,,1996
AquaZone: Life Simulator,X360,Simulation,Frontier Groove,,,,,,,2006-09-14,,,2006
Archimedean Dynasty,PC,Simulation,Massive Development,,,,,,,1997-04-04,,,1997
Arcobaleno! Portable,PSP,Simulation,Idea Factory,,,,,,,2010-01-28,,,2010
Ares Rising,PC,Simulation,Imagine Studios,,,,,,,1998-08-31,,,1998
Armored Assault,PC,Simulation,iEntertainment Network,,,,,,,2002-12-10,,,2002
ARMORED CORE 3 Portable,PSN,Simulation,From Software,,,,,,,2009-10-21,,,2009
Armored Core SL: Silent Line Portable,PSN,Simulation,From Software,5.8,,,,,,2010-02-04,,,2010
Armored Core: Formula Front,PS2,Simulation,From Software,,,,,,,,,,
Armored Core: Last Raven Portable,PSN,Simulation,From Software,5.0,,,,,,2010-05-04,,,2010
Armored Fist,PC,Simulation,NovaLogic,,,,,,,1995-01-01,,,1995
Armored Fist 3,PC,Simulation,NovaLogic,,,,,,,1999-09-30,,,1999
Arrow of Laputa,DSiW,Simulation,ArtePiazza,,,,,,,2010-11-24,,,2010
Art Academy: First Semester,DSiW,Simulation,Headstrong Games,,,,,,,2009-09-14,,,2009
Art Academy: Second Semester,DSiW,Simulation,Headstrong Games,,,,,,,2009-09-28,,,2009
Art of Ink,DSiW,Simulation,Sabarasa Inc,,,,,,,2011-04-11,,,2011
Artemis Spaceship Bridge Simulator,And,Simulation,"Incandescent Core, LLC",,,,,,,2012-12-12,2018-08-18,,2012
Arvoch Confilct,PC,Simulation,StarWraith 3D Games,,,,,,,2006-01-01,,,2006
Assault Rigs,SAT,Simulation,Psygnosis,,,,,,,1997-09-11,,,1997
Atelier Deco la Dol: Lolita,DSiW,Simulation,Starfish SD,,,,,,,2010-12-22,,,2010
Atelier Deco la Doll,DSiW,Simulation,Starfish SD,,,,,,,2009-12-16,,,2009
Atelier Deco la Doll: Gothic,DSiW,Simulation,Starfish SD,,,,,,,2010-04-28,,,2010
Atelier Deco la Doll: Princess,DSiW,Simulation,Starfish SD,,,,,,,2011-04-27,,,2011
Attack on Pearl Harbor,PC,Simulation,3D People,,,,,,,2007-08-06,,,2007
Audio Environment: Airliner Edition,PC,Simulation,FLIGHT1,,,,,,,2011-11-25,,,2011
Azito,PS,Simulation,Astec 21,,,,,,,1997-02-28,,,1997
Azito 2,PS,Simulation,Astec 21,,,,,,,1998-10-15,,,1998
Azito 3,PS,Simulation,Astec 21,,,,,,,2000-02-17,,,2000
Azito 3D,3DS,Simulation,Hamster Corporation,,,,,,,2011-11-03,,,2011
Azito x Tatsunoko Legends,XOne,Simulation,Unknown,,,,,,,,,,
B-1 Nuclear Bomber,PC,Simulation,Microcomputer Games,,,,,,,1981-01-01,,,1981
B-17 Flying Fortress,PC,Simulation,MicroProse,,,,,,,1992-01-01,,,1992
B-17 Gunner: Air War Over Germany,PC,Simulation,Sunstorm Interactive,,,,,,,2001-05-20,,,2001
Babysitting Mania,PC,Simulation,Gogii Games,,,,,,,2008-01-02,,,2008
Bang! Gunship Elite,PC,Simulation,RayLand,,,,,,,2000-07-19,,,2000
Barbie: Pet Rescue,GB,Simulation,HotGen Studios,,,,,,,2001-08-15,,,2001
Barbie: Pet Rescue,PC,Simulation,Human Code,,,,,,,2000-02-21,,,2000
Battle Athletess: Daiundoukai,SAT,Simulation,Increment-P,,,,,,,1996-12-13,,,1996
Battle Athletess: Daiundoukai Alternative,PS,Simulation,IPC Software,,,,,,,1998-01-15,,,1998
Battle Athletess: Daiundoukai GTO,PS,Simulation,Exrays,,,,,,,1999-01-14,,,1999
Battle Tank,NES,Simulation,Absolute Entertainment,,,,,,,1990-09-01,,,1990
Battle Tank Simulator Panzer Front,DC,Simulation,Enterbrain,,,,,,,1999-12-22,,,1999
Battlecruiser Millennium,PC,Simulation,"3000AD, Inc.",,,,,,,2001-11-18,,,2001
Battlecruiser Millennium: Gold Edition,PC,Simulation,"3000AD, Inc.",,,,,,,2003-04-04,,,2003
Battlehawks 1942,PC,Simulation,Lucasfilm Games,,,,,,,1988-01-01,,,1988
Battlemorph,AJ,Simulation,Atari,,,,,,,1995-12-01,,,1995
Battlesphere,AJ,Simulation,4Play,,,,,,,2000-01-01,,,2000
BattleTech: A Game of Armored Combat,GEN,Simulation,Malibu Games,,,,,,,1994-01-01,,,1994
BattlezOne,XBL,Simulation,Stainless Games,,,,,,,2008-04-16,,,2008
Beach Party Craze,DSiW,Simulation,"Alawar Entertainment, Inc.",,,,,,,2011-06-16,,,2011
BeatMania (PAL),PS,Simulation,Konami,,,,,,,2001-06-16,,,2001
BeatMania 3rdMix mini,PS,Simulation,Konami,,,,,,,1998-10-29,,,1998
BeatMania 6thMix + Core Remix,PS,Simulation,Konami,,,,,,,2002-01-31,,,2002
BeatMania Append 5thMix: Time to get down,PS,Simulation,Konami,,,,,,,2000-03-02,,,2000
BeatMania Append ClubMix,PS,Simulation,Konami,,,,,,,2000-12-21,,,2000
BeatMania Append GottaMix2: Going Global,PS,Simulation,Konami,,,,,,,2000-09-07,,,2000
BeatMania Best Hits,PS,Simulation,Konami,,,,,,,2000-07-27,,,2000
BeatMania Da Da Da!!,PS2,Simulation,Konami,,,,,,,2001-03-29,,,2001
BeatMania Da Da Da!! The Best Da,PS2,Simulation,Konami,,,,,,,2002-05-16,,,2002
BeatMania featuring Dreams Come True,PS,Simulation,Konami,,,,,,,2000-07-27,,,2000
BeatMania for WonderSwan,WS,Simulation,Konami,,,,,,,1999-04-28,,,1999
BeatMania GB,GB,Simulation,Konami,,,,,,,1999-03-11,,,1999
BeatMania GB Gotcha Mix 2,GB,Simulation,Konami,,,,,,,2000-09-28,,,2000
BeatMania GB2 Gotcha Mix,GB,Simulation,Konami,,,,,,,1999-11-25,,,1999
BeatMania IIDX 10th Style,PS2,Simulation,Konami,,,,,,,2005-11-17,,,2005
BeatMania IIDX 12: Happy Sky,PS2,Simulation,Konami,,,,,,,2006-12-14,,,2006
BeatMania IIDX 15: DJ Troopers,PS2,Simulation,Konami,,,,,,,2008-12-18,,,2008
BeatMania IIDX 5th Style: New Songs Collection,PS2,Simulation,Konami,,,,,,,2001-08-30,,,2001
BeatMania IIDX 6th Style: New Songs Collection,PS2,Simulation,Konami,,,,,,,2002-07-18,,,2002
BeatMania IIDX 7th Style,PS2,Simulation,Konami,,,,,,,2004-08-05,,,2004
BeatMania IIDX 8th Style,PS2,Simulation,Konami,,,,,,,2004-11-18,,,2004
BeatMania IIDX 9th Style,PS2,Simulation,Konami,,,,,,,2005-03-24,,,2005
BeatMania: The Sound of Tokyo! -produced by KONISHI yasuharu-,PS,Simulation,Konami,,,,,,,2001-03-29,,,2001
Big Bass Fishing,PS,Simulation,Coresoft Games,,,,,,,1986-01-01,,,1986
Bird Week,NES,Simulation,Lenar,,,,,,,1986-06-03,,,1986
Bishoujo Wrestler Retsuden: Blizzard Yuki Rannyuu,SNES,Simulation,KSS,,,,,,,1996-03-29,,,1996
Black Dawn,SAT,Simulation,Point of View,,,,,,,1997-04-25,,,1997
Blades of Thunder,GBA,Simulation,InterActive Vision Games,3.8,,,,,,2005-02-01,,,2005
Blades of Thunder II,DS,Simulation,CokeM Interactive,,,,,,,2006-04-18,,,2006
Blue Lightning,AJ,Simulation,Epyx,,,,,,,1995-08-01,,,1995
Blue Lightning,Lynx,Simulation,Epyx,,,,,,,1989-01-01,,,1989
Boku mo Sekai o Sukuitai,WW,Simulation,Poisoft,,,,,,,2010-06-29,,,2010
Boku mo Sekai wo Sukuitai,WW,Simulation,Poisoft,,,,,,,,,,
Boku no Choro-Q,PS,Simulation,Takara,,,,,,,2002-03-07,,,2002
Boku wa Koukuu Kanseikan,PS,Simulation,TechnoBrain,,,,,,,1999-12-22,,,1999
Boku wa Koukuu Kanseikan,GBA,Simulation,TechnoBrain,,,,,,,2001-03-21,,,2001
Boku wa Koukuu Kanseikan 3: Challenge 2,PC,Simulation,TechnoBrain,,,,,,,2009-07-31,,,2009
Boku wa Koukuu Kanseikan 3: Hong Kong Kai Tek Airport,PC,Simulation,TechnoBrain,,,,,,,2009-02-27,,,2009
Boku wa Koukuu Kanseikan 3: Onikawa Blue Corridor - Fukkoku Fanservice-Han,PC,Simulation,TechnoBrain,,,,,,,2009-07-31,,,2009
Boku wa Koukuu Kanseikan 3: Sendai Airmanship,PC,Simulation,TechnoBrain,,,,,,,2009-06-26,,,2009
Boku wa Koukuu Kanseikan 3: Shin Chitose Snowing Day,PC,Simulation,TechnoBrain,,,,,,,2009-11-27,,,2009
Boku wa Koukuu Kanseikan 3: Tokyo Dream Gateway,PC,Simulation,TechnoBrain,,,,,,,2010-08-26,,,2010
Boku wa Koukuu Kanseikan : Airport Hero Narita,PSN,Simulation,TechnoBrain,,,,,,,2010-07-29,,,2010
Boku wa Koukuu Kanseikan: Airport Hero Haneda,PSP,Simulation,TechnoBrain,,,,,,,2010-10-07,,,2010
Boku wa Koukuu Kanseikan: Airport Hero Kankuu,PSP,Simulation,TechnoBrain,,,,,,,2010-12-09,,,2010
Boku wa Koukuu Kanseikan: Airport Hero NaHa,PSP,Simulation,TechnoBrain,,,,,,,2006-09-28,,,2006
Boku wa Koukuu Kanseikan: Airport Hero Naha,PSN,Simulation,TechnoBrain,,,,,,,2010-08-10,,,2010
Boku wa Koukuu Kanseikan: Airport Hero Narita,PSP,Simulation,TechnoBrain,,,,,,,2006-06-15,,,2006
Boku wa Koukuu Kanseikan: Airport Hero Shinchitose,PSN,Simulation,TechnoBrain,,,,,,,2010-09-02,,,2010
Boku wa Koukuu Kanseikan: Airport Hero Shinchitose,PSP,Simulation,TechnoBrain,,,,,,,2007-02-22,,,2007
Boku wa Plarail Untenshi,WW,Simulation,Takara Tomy,,,,,,,2010-01-05,,,2010
Bokujou Monogatari Harvest Moon for Girl,PSN,Simulation,Victor Interactive Software,,,,,,,2008-12-24,,,2008
Bokujou Monogatari: Harvest Moon for Girl,PS,Simulation,Victor Interactive Software,,,,,,,2000-12-07,,,2000
Bokujou Monogatari: Shiawase no Uta,GC,Simulation,Marvelous Interactive,,,,,,,2005-03-03,,,2005
Bonogurashi,3DO,Simulation,Amuse Productions,,,,,,,1995-04-21,,,1995
Bonogurashi,PS,Simulation,Amuse Productions,,,,,,,1996-06-07,,,1996
Bonsai Barber,WW,Simulation,Zoonami,,,,,,,2009-03-30,,,2009
Bouken! Dondoko Shima,GB,Simulation,Global A Entertainment,,,,,,,2002-04-18,,,2002
Boukoku no Aegis 2035: Warship Gunner,PS2,Simulation,Micro Cabin,,,,,,,2005-07-21,,,2005
Boys Be...,PS,Simulation,Kodansha,,,,,,,1997-03-28,,,1997
Boys Be... 2nd Season,PS,Simulation,Kodansha,,,,,,,1999-09-22,,,1999
Bratz: The Movie,GBA,Simulation,Blitz Games,,,,,,,2007-09-24,,,2007
Bronco X,PC,Simulation,Aerosoft,,,,,,,2011-11-24,,,2011
Build-A-Bear Workshop,DS,Simulation,Neko Entertainment,,,,,,,2007-11-05,,,2007
Build-a-lot,PC,Simulation,HipSoft,,,,,,,2007-10-03,,,2007
Build-A-Lot 3: Passport to Europe,PC,Simulation,HipSoft,,,,,,,2009-01-15,,,2009
Build-A-Lot 4: Power Source,PC,Simulation,HipSoft,,,,,,,2009-08-12,,,2009
Bundesliga Manager Professional,PC,Simulation,Kron Simulation Software,,,,,,,1991-01-01,,,1991
Burger Island,PC,Simulation,eGames,,,,,,,2007-05-08,,,2007
Burger Paradise International,GB,Simulation,Biox,,,,,,,2000-04-21,,,2000
"Bus Terminal Amusements, Vol. 1: ""Guess Which Hand",PC,Simulation,Turdhead,,,,,,,,,,
Business Tycoon,PC,Simulation,Stardock,,,,,,,2000-01-01,,,2000
Busy Sweets Factory,PSN,Simulation,Sony Computer Entertainment America,,,,,,,2010-05-11,,,2010
Caesars Palace,GG,Simulation,Virgin Interactive,,,,,,,1993-01-01,,,1993
Cafeland,PC,Simulation,Teyon,,,,,,,2012-02-01,,,2012
Cafeteria Nipponica,And,Simulation,Kairosoft Co. Ltd,,,,,,,2012-04-05,,,2012
Cafeteria Nipponica,iOS,Simulation,Kairosoft Co. Ltd,,,,,,,,,,
Capitalism Plus,PC,Simulation,Enlight Software,,,,,,,1997-04-30,,,1997
Car Builder,PC,Simulation,"Optimum Resource, Inc.",,,,,,,1982-01-01,,,1982
Carrier: Fortress at Sea,3DO,Simulation,RMG Dentsu USA Inc.,,,,,,,1995-01-01,,,1995
CastleVille,PC,Simulation,Zynga,,,,,,,2011-11-11,,,2011
Catz,PC,Simulation,MTO,,,,,,,2006-11-14,,,2006
Catz,GB,Simulation,Saffire Corporation,,,,,,,1999-12-01,,,1999
Catz (1995),PC,Simulation,PF.Magic,,,,,,,1995-01-01,,,1995
Catz 3,PC,Simulation,PF.Magic,,,,,,,1998-09-28,,,1998
Catz 4,PC,Simulation,PF.Magic,,,,,,,1999-09-28,,,1999
Catz 5,PC,Simulation,PF.Magic,,,,,,,2002-09-18,,,2002
Catz II,PC,Simulation,PF.Magic,,,,,,,1997-01-01,,,1997
Cesar Milan's Dog Whisperer,PC,Simulation,Ubisoft,,,,,,,2008-10-15,,,2008
Chishiki-Ou Series: Train Master,DS,Simulation,Global A Entertainment,,,,,,,2008-01-10,,,2008
Choco Ken no Omise: Patisserie & Sweets Shop Game,DS,Simulation,TDK Core,,,,,,,2006-02-09,,,2006
Chocobo Stallion,PSN,Simulation,SquareSoft,,,,,,,2008-07-23,,,2008
Chocobo Stallion,PS,Simulation,SquareSoft,,,,,,,1999-12-22,,,1999
Chocolatier,PC,Simulation,"Big Splash Games, LLC",,,,,,,2007-09-27,,,2007
Chocolatier 2: Secret Ingredients,PC,Simulation,"Big Splash Games, LLC",,,,,,,2008-01-09,,,2008
Christmas Seaman,DC,Simulation,VIVARIUM Inc.,,,,,,,1999-12-16,,,1999
Chuck Yeager's Air Combat,PC,Simulation,Electronic Arts,,,,,,,1991-01-01,,,1991
Ciao Dream Touch! Happy Anniversary,DS,Simulation,Marvelous Interactive,,,,,,,2006-12-07,,,2006
Cinnamoroll: FuwaFuwa Daibouken,GBA,Simulation,Rocket Company,,,,,,,2005-12-01,,,2005
Cinnamoroll: KuruKuru Sweets Paradise,DS,Simulation,Rocket Company,,,,,,,2007-07-12,,,2007
Cinnamoroll: Ohanashi shiyo! - KiraKira DE Kore Cafe,DS,Simulation,Bandai Namco Games,,,,,,,2006-12-07,,,2006
Cinnamoroll: Yume no Daibouken,GBA,Simulation,Imagineer,,,,,,,2004-12-02,,,2004
Circus World,PC,Simulation,Excalibur Publishing Ltd.,,,,,,,2012-03-10,,,2012
Cities in Motion: Tokyo,PC,Simulation,Colossal Order,,,,,,,2011-05-30,,,2011
Cities: Skylines,OSX,Simulation,Colossal Order,,,,,,,2015-03-10,,,2015
Cities: Skylines,Linux,Simulation,Colossal Order,,,,,,,2015-03-10,,,2015
City,GIZ,Simulation,Gizmondo Studios,,,,,,,,,,
Clever Kids: Pet Store,PC,Simulation,Midas Interactive Entertainment,,,,,,,2009-09-25,,,2009
Clever Kids: Pet Store,DS,Simulation,Midas Interactive Entertainment,,,,,,,2009-09-25,,,2009
Clever Kids: Pet Store,Wii,Simulation,Midas Interactive Entertainment,,,,,,,2010-05-21,,,2010
Coaster Park Tycoon,PC,Simulation,Frontier Developments,,,,,,,2017-01-01,,,2017
Coconut Queen,PC,Simulation,iWin,,,,,,,2009-08-20,,,2009
Comanche 3,PC,Simulation,NovaLogic,,,,,,,1997-01-01,,,1997
Comanche Gold,PC,Simulation,NovaLogic,,,,,,,1998-05-01,,,1998
Comanche: Maximum Overkill,PC,Simulation,NovaLogic,,,,,,,1992-01-01,,,1992
Combat Flight Simulator 2: WWII Pacific Theater,PC,Simulation,Microsoft Game Studios,,,,,,,2000-10-13,,,2000
Combat Flight Simulator 3: Battle for Britain,PC,Simulation,Aeroplane Heaven,,,,,,,2003-10-01,,,2003
Combat Wings: The Great Battles of WWII,X360,Simulation,City Interactive,,,,,,,2012-03-27,,,2012
Combat Wings: The Great Battles of WWII,PC,Simulation,City Interactive,,,,,,,,,,
Comic Road,PCFX,Simulation,Cocktail Soft,,,,,,,1997-09-26,,,1997
"Cook, Serve, Delicious!",iOS,Simulation,Vertigo Gaming Inc.,,,,,,,2012-10-05,2019-04-04,,2012
Cooking Academy,PC,Simulation,Fenomen,,,,,,,2008-09-19,,,2008
Cooking Dash,PC,Simulation,Aliasworlds Entertainment,,,,,,,2008-08-06,,,2008
Copter Crisis,WW,Simulation,Digital Leisure,,,,,,,2009-11-30,,,2009
Corfu X,PC,Simulation,Aerosoft,,,,,,,2011-11-25,,,2011
Cosmetic * Paradise: Princess Life,DS,Simulation,Global A Entertainment,,,,,,,2011-04-14,,,2011
Country Tales: Dawn of a New World,PC,Simulation,Unknown,,,,,,,2016-04-13,,,2016
Cozy Fire,WW,Simulation,dtp entertainment AG,,,,,,,2011-02-21,,,2011
Crazy Garage,DS,Simulation,U&I Entertainment,,,,,,,,,,
Crazy Pig,DS,Simulation,Kaolink,,,,,,,2007-11-30,,,2007
Creatures,GBA,Simulation,Elo Interactive,,,,,,,2002-02-08,,,2002
Creatures,PS,Simulation,Creature Labs,,,,,,,2002-05-18,,,2002
Creatures: Exodus,PC,Simulation,Creature Labs,,,,,,,2005-08-01,,,2005
Creatures: Raised in Space,PS,Simulation,Conspiracy Entertainment,,,,,,,2004-01-01,,,2004
Creatures: Raised in Space,PSN,Simulation,Conspiracy Entertainment,,,,,,,2009-05-22,,,2009
Creatures: The Albian Years,PC,Simulation,Creature Labs,,,,,,,2004-07-16,,,2004
Crimson Skies: High Road to Revenge,XBL,Simulation,FASA Studio,,,,,,,2007-12-04,,,2007
Cultivation,PC,Simulation,Jason Rohrer,,,,,,,2006-09-09,,,2006
Cyber Daisenryaku,PS,Simulation,System Soft,,,,,,,1999-02-04,,,1999
Daiva Story 6: Imperial of Nirsartia,NES,Simulation,Tikipod,,,,,,,1986-12-05,,,1986
Dakkoshite! Chimpanzee,DS,Simulation,Starfish SD,,,,,,,,,,
Dance Dance Revolution,PC,Simulation,Konami,,,,,,,2002-07-25,,,2002
Dance Dance Revolution 2nd Remix Append Club Mix Vol. 1,PS,Simulation,KCET,,,,,,,1999-11-25,,,1999
Dance Dance Revolution 2nd Remix Append Club Mix Vol. 2,PS,Simulation,KCET,,,,,,,1999-12-22,,,1999
Dance Dance Revolution 4th Mix,PS,Simulation,KCET,,,,,,,2001-03-15,,,2001
Dance Dance Revolution 5thMix,PS,Simulation,Konami,,,,,,,2001-09-20,,,2001
Dance Dance Revolution Best Hits,PS,Simulation,KCET,,,,,,,2000-12-21,,,2000
Dance Dance Revolution Disney Dancing Museum,N64,Simulation,KCEK,,,,,,,2000-11-30,,,2000
Dance Dance Revolution Extreme (Japan),PS2,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2003-10-09,,,2003
Dance Dance Revolution GB,GB,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2000-08-03,,,2000
Dance Dance Revolution GB Disney Mix,GB,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2001-03-29,,,2001
Dance Dance Revolution GB Oha Star,GB,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2001-02-08,,,2001
Dance Dance Revolution GB2,GB,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2000-11-16,,,2000
Dance Dance Revolution GB3,GB,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2001-03-15,,,2001
Dance Dance Revolution Konamix,PS,Simulation,Konami,,,,,,,2002-04-05,,,2002
Dance Dance Revolution Oha Star,PS,Simulation,KCET,,,,,,,2000-09-14,,,2000
Dance Dance Revolution Party Collection,PS2,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2003-12-11,,,2003
Dance Dance Revolution Strike,PS2,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2006-02-16,,,2006
Dance Dance Revolution Ultramix 4,XB,Simulation,Konami Computer Entertainment Hawaii,,,,,,,2006-11-14,,,2006
Dance Dance Revolution: Winx Club,Wii,Simulation,Konami,,,,,,,2009-03-26,,,2009
Dancing Academy,DSiW,Simulation,Tivola Interactive Media,,,,,,,2011-03-25,,,2011
Dancing Demon,PC,Simulation,Tandy Corporation,,,,,,,,,,
Dancing Furby,GB,Simulation,Tomy Corporation,,,,,,,1999-12-24,,,1999
Dancing Stage EuroMix,PS,Simulation,Konami,,,,,,,2001-02-16,,,2001
Dancing Stage featuring Dreams Come True,PS,Simulation,KCET,,,,,,,2000-04-20,,,2000
Dancing Stage featuring True Kiss Destination,PS,Simulation,KCET,,,,,,,1999-12-09,,,1999
Dancing Stage Fever,PS2,Simulation,Konami,,,,,,,2003-10-24,,,2003
Dancing Stage Fever,PS,Simulation,Konami,,,,,,,2003-10-24,,,2003
Dancing Stage Fusion,PS2,Simulation,Konami,,,,,,,2004-11-05,,,2004
Dancing Stage Fusion,PS,Simulation,Konami,,,,,,,2004-11-05,,,2004
Dancing Stage Max,PS2,Simulation,Konami,,,,,,,2005-11-25,,,2005
Dancing Stage Party Edition,PS,Simulation,Konami,,,,,,,2002-11-15,,,2002
Darklight Conflict,PC,Simulation,Rage Software,,,,,,,1997-03-31,,,1997
Darklight Conflict,SAT,Simulation,Rage Software,,,,,,,1997-01-01,,,1997
Date or Ditch,DSiW,Simulation,Gameloft,,,,,,,2010-06-28,,,2010
Dawn of Discovery,PC,Simulation,Blue Byte Software,,,,,,,2009-06-17,,,2009
DBVR,PC,Simulation,Illusion Soft,,,,,,,2003-03-28,,,2003
DCS: Black Shark,PC,Simulation,Eagle Dynamics,,,,,,,2009-04-07,,,2009
DDR Festival: Dance Dance Revolution,PS2,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2004-11-18,,,2004
DDRMAX2: Dance Dance Revolution 7th Mix,PS2,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2003-04-24,,,2003
DDRMAX: Dance Dance Revolution,PS2,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2002-10-28,,,2002
DDRMAX: Dance Dance Revolution 6th Mix,PS2,Simulation,Konami Computer Entertainment Tokyo,,,,,,,2002-05-16,,,2002
Debut 21,PS,Simulation,Image Works,,,,,,,1998-09-10,,,1998
Deep Aquarium: Kiseki no Shinkai,DS,Simulation,Ertain,,,,,,,2008-06-05,,,2008
Deep Fighter,DC,Simulation,Criterion Games,7.3,,,,,,2000-08-22,,,2000
Deer Hunter Tournament,PC,Simulation,South Logic Studios,,,,,,,2008-10-14,,,2008
Dengeki no Pilot: Tenkuu no Kizuna,PSP,Simulation,Best Media,,,,,,,2010-01-28,,,2010
Densha de Go!,WS,Simulation,Taito Corporation,,,,,,,1999-03-04,,,1999
Densha de Go!,GB,Simulation,CyberFront,,,,,,,1999-12-10,,,1999
Densha de Go! 2,WS,Simulation,CyberFront,,,,,,,1999-10-07,,,1999
Densha de Go! 2,GB,Simulation,CyberFront,,,,,,,2000-12-08,,,2000
Densha de Go! 2,DC,Simulation,Taito Corporation,,,,,,,2000-01-20,,,2000
Densha de Go! EX,SAT,Simulation,Taito Corporation,,,,,,,1998-10-01,,,1998
Densha de Go! Final,PS2,Simulation,Taito Corporation,,,,,,,2004-05-27,,,2004
Densha de Go! Nagoya Tetsudou Hen,PS,Simulation,Taito,,,,,,,2000-01-27,,,2000
Densha de Go! Pocket: Chuuousen Hen,PSP,Simulation,Taito Corporation,,,,,,,2006-01-19,,,2006
Densha de Go! Pocket: Osaka Kanjousen Hen,PSP,Simulation,Taito Corporation,,,,,,,2006-03-30,,,2006
Densha de Go! Pocket: Toukaidousen Hen,PSP,Simulation,Taito Corporation,,,,,,,2006-07-27,,,2006
